Code,Long name,Short name,Logo,Colour
WRW,University of Warwick,Warwick,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR3k8FPYuZCMoz9ezNb1Z5v1zlrAq1MXnH0Hw&s,#3C1053
EXT,University of Exeter,Exeter,https://upload.wikimedia.org/wikipedia/commons/2/27/Uni_Exeter.svg,#003c3c
ICL,Imperial College London,Imperial,https://upload.wikimedia.org/wikipedia/commons/0/06/Imperial_College_London_new_logo.png,#0000cc
KCL,King's College London,KCL,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/King%27s_College_London_logo.svg/1280px-King%27s_College_London_logo.svg.png,#e12220
LAN,Lancaster University,Lancaster,https://liquipedia.net/commons/images/thumb/6/6e/Lancaster_University_allmode.png/600px-Lancaster_University_allmode.png,#afb6bc
MCR,Manchester University,Manchester,https://upload.wikimedia.org/wikipedia/commons/c/cf/Manchester_University_Logo_%282%29.png,#50007f
NCL,Newcastle University,Newcastle,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQXlnNVVWZR4YuuasZ1TN2vM086lPWxIa5AzA&s,#515354
SHT,University of Southampton,Southampton,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSD2uQmoDnF-fGQZqSeG5TzgLCdzxLFz_pkqw&s,#035c86
CDF,Cardiff University,Cardiff,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Cardiff_University_%28logo%29.svg/1066px-Cardiff_University_%28logo%29.svg.png,#d93347
UCL,University College London,UCL,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAZ8AAAB5CAMAAADRVtyNAAAAh1BMVEUjHyD///8AAAAgHB38/PwtKSoTDQ6Ih4cOBQjr6+s0MDELAAGenZ2Mi4vg398eGRpFQkOxsLAXEROSkZEaFRZLSUlwb2/NzMz09PQLAAS1tLTw8PCYl5fV1dVjYWI+OzzEw8OlpKR8entYVVYyLi9pZ2hIRUZ3dXZTUFHHx8fc29zS0dGBf4CTszQDAAAIHklEQVR4nO2d22KqOhBAYYIUCooCVqBaRLeXWv//+w7aHgVMJkHFFpn10JcCQhaQZJIMmkYQBEEQBEEQBEEQBEEQBEEQBEEQBEEQBEEQBEEQBEEQBEEQBEEQBEEQBEEQxAXMC33TcSDHsUw/ZL99QsQJzwfw049FkCVHsv7b8tUBx/d++8wILXQgXSS7SC9jRLPRJgWgB+l/PEuMqJBM8S6mym+y2FmObF2InXyEEKocRoh8778DdjN6y8wVkfX4O4aBcBe3LxfkwT8XkfNNlCzBxB8i1hsJyQVLz+Ov4G888YWaAVJIr/z94nfxLgOQnI0H67lMzs+hXuIYM8R6yM4K98kfgf3TP8WFZvbr+3GQu1/ih0H6qWbnQDR1LORYPUO860ub/Mz+ih8fEnU7B4wXcT30LH6Y/vU3/DBYISUqwF6C4CX3JH4gr2E84U34QD+hU/Ph+SERNMaewg+D/aHUho7g/4/zY6bSRpsAe8s96DP4YeHk+3z7gnJ7mB/4qP9uO8E9+2fwA7PTJcbcDR7lBxZXaDmTcCqhJ/BT7N28csNaD/IDL7WVlJlYF6f/BH6gUJJTblfiMX6OleBtzC7Cpu33U+phz7kl9xA/1qquDQ67arin/X68tHDG/E7qI/z467ouuHxV6qD2+/FLka6Nz9nkAX6YVx1FuJLKG6D9fsxSQWa8FtwD/MBXTQ9CpqWDt98PHDs/g+TzeAO//c7zA9OrXHBZFi+h/X6s6MtdAnyMwd9kg4QXQ2jcT3ifyuebqNhGaLkfz3cA1vv5sTB3o7dXgNi/KPDG/cDuShdcksLhW+wntHI1i9GudAHRJFvlksxSP6JpP5ZCxzTaJZnrZslOIQK0PMdKW+xnlU34bSbDngfboqCG/Si03eYfXv5kW1YMoK2kQ6uF47fXj4lGit1iIKFhP5Dhxa0nr4W5OsyHV9kYxLngW+xnoR9P/fTHKPwp1bEN+2Ea/sp6X0IlauPBEpndkDN9Aj/Mm+qTdDjSk2H6qU+H6UBfrMe2sVovjWhcGu1q1o+ToWU9Y5wmv++JWxRG1jt34trrRwu3ugvxRl/E4OpLExJdC2FngAdR5QXUqB8G6OMzc7ghde88KFK1w+A52tfeWA9M/01fhWagjz1npOdlNYlAA/uRfky08WbHgom8jPsDhus7pfN5Aj9vBz/b//0Yj/YDA8xPKpwUEb5e2plazvPEr/+Gn1L4/IK+aEpETlwZLzKmcDlVkfzc6CfOkGPb6ES5UhUUBcAbWyQ/N/oBrBvGjdaeCMenDd/7MX+iPvm5zY93WYucwR+f3O1PJMHuC5dRPIGf1W/6Qafeu8jE6uMVHMPe9ot4kUur/az1PsBKXwEE+hpgpPvxwY/1SD8wQQ6dyhbJ5XvbewdbYtJiP7DXv/rB3JgH/S8jCfoDIwsC25gGQfT+sPi1hYRGZa+3vAZa9gEv4/b68feCHviBZPiY+Bvauk6kfrRQVsLt9QNomH5bPPXm/PjYjNH9HYqvtX6sKTq+8Flc+9ecH7T3s73D8sPW+kH7HXp57V9zfgBbKIesuFSmtX78RdBHKA2gNugHCb4Z8upHTmv9aL6J8pDxbebfsopYhfb6qUFzfrDV1ciCWHXIz01+sOjOhPwo0pgfb0h+7kBzfsbijbCEDOqQn1v8hFvkwPT8qPI7fpCEDOqQn8beb9S+VuV32gfv5EeRe/vZKbWvOx4/qEFzftCpvYIj14L83OQHi+/o90ifR36u8DNTio/eJX0e+bnCz5fa+AI/GUM9uuEHmyJ9hZ9PtfE5+fwDDZm58003/GCZV67wM1cb35bP37Fc16vOuC7TCT/+FX5ixM954gc++5qfDegMi9/1yGWi3InHTTrh5w3zw7/JLcTP6DzrHUvzK40gfJ+XkfWqC+zOdMJPuEQKccgtG7TlXHgu0AaCPsZfcKcJ8smryFAn/HhY+gh+L4X1kImHhSQ/6PxeSQvO/yhsmfINdcIP+4eUIf8i0YqllJ8A84O3EMqdp/mQl2W5E340QIpwxF1ChVVZRlqo0PHlc9gYA1Qfvcny0lBH/CAXye+lYDnGo6JRy8X86HvhAjqfMzYx+4DKiqGO+MHy4/CmeaIpQUoPhYe9O3PGgjIMNe4vDN7KE+Y74gebq80bhwbsqSjnmBMtlP8hSrmFGDJR+32wKH7TBPfjeFLuXJLNYKHp2V4uBJnYuGilxedvUD96xEs8Dmuk+W7vzym4UD9BOpTSim9AhXju1k01H1WKJTwytPI1A56rJS/GSqXCfMACtvohqcVpW8yPAkYrPtLFQmkJnu/YEDZomVTfh5aksA+ViuP8X0754eM3tM2nFztYN/u5zIb3F5FUEnkJmnD4tKJvgbWSbFtd1sMceWpYe/TRMw8fcDR7K+yjZz9no5hfTIGW+MEroAPRp7tfrfbuXPa2Mlj1ilXS8+XYgxylz2eo5udToCV+0GXw9eCsWsT7qLUpRoU64gdfZ10LTsimGEi7A8UvFnbFT3ivIuSGPGF0p6MfeCmOGnXFz91S7HKHixiebLMW5eZhZ/ygY0DqZPyAp49NxK5FVO5ddcYPGvFURjjlw5F2ghRZVvqynfHDvDu8g8RL5u9UBVXj3d3xo/m3v+FEH7g7cJcWYlD9gQ750ZxbP3A1woarmSxGocD04ge65OfWr4xI5oPeLojzeHbKDz6sI4P3ecUSDE8JJGXF8d8tP7d8w8+V6TkIyq4vSTutnX9UgZb50WB7XSsu4t3cnMOvrv3M2Yj/jfQG/fwHqU2ktDEhO8AAAAAASUVORK5CYII=",#ffffff
BHM,University of Birmingham,Birmingham,https://fundit.fr/sites/default/files/institutions/626ba3161dc4c3b537787e15.png,#e30513
COV,Coventry University,Coventry,https://seeklogo.com/images/C/coventry-university-logo-3F21664BC3-seeklogo.com.png,#005fbb
CAM,University of Cambridge,Cambridge,https://www.cam.ac.uk/sites/www.cam.ac.uk/files/inner-images/logo.jpg,#85b09a
LDS,University of Leeds,Leeds,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTlJEV_NxpeqzEiHz0Dsu4QstykPSxjdqUktg&s,#000304
NOT,University of Nottingham,Nottingham,https://www.ifpri.org/wp-content/uploads/2021/06/nottingham-university-logo.png,#005480
OXF,University of Oxford,Oxford,https://i0.wp.com/oxforduniversitytours.co.uk/wp-content/uploads/2023/09/university-of-oxford-logo-1.png?resize=300%2C300&ssl=1,#101f48
SHF,University of Sheffield,Sheffield,https://wun.ac.uk/wp-content/uploads/UOSLogo_Primary_Violet_RGB.png,#440099
SUR,University of Surrey,Surrey,https://www.peoplebusiness.co.uk/wp-content/uploads/uni-of-surrey-square-logo.png,#c9aa01